id,name,address
2,NULL,Oudezijds Achterburgwal 23 te Amsterdam (NH)
3,NULL,Oudezijds Achterburgwal 27 te Amsterdam (NH)
4,NULL,Oudezijds Achterburgwal 29 te Amsterdam (NH)
5,Besiendershuis,Oudezijds Achterburgwal 31 te Amsterdam (NH)
6,NULL,Oudezijds Achterburgwal 33 te Amsterdam (NH)
7,NULL,Oudezijds Achterburgwal 35 te Amsterdam (NH)
8,NULL,Oudezijds Achterburgwal 37 te Amsterdam (NH)
9,NULL,Oudezijds Achterburgwal 41 te Amsterdam (NH)
10,NULL,Oudezijds Achterburgwal 43 te Amsterdam (NH)
11,NULL,Oudezijds Achterburgwal 45 te Amsterdam (NH)
12,NULL,Oudezijds Achterburgwal 47 te Amsterdam (NH)
13,NULL,Oudezijds Achterburgwal 49 te Amsterdam (NH)
14,NULL,Oudezijds Achterburgwal 51 te Amsterdam (NH)
15,Zuidwijk,Oudezijds Achterburgwal 53 te Amsterdam (NH)
16,NULL,Oudezijds Achterburgwal 57 te Amsterdam (NH)
17,NULL,Oudezijds Achterburgwal 61 H te Amsterdam (NH) e.a.
18,NULL,Oudezijds Achterburgwal 63 te Amsterdam (NH)
19,NULL,Oudezijds Achterburgwal 65 te Amsterdam (NH)
20,NULL,Oudezijds Achterburgwal 67 te Amsterdam (NH)
21,NULL,Oudezijds Achterburgwal 69 A te Amsterdam (NH) e.a.
22,NULL,"Oudezijds Achterburgwal bij 73, Locatie: voorheen Bloedstraat 2-4 te Amsterdam (NH)"
23,NULL,Oudezijds Achterburgwal 73 te Amsterdam (NH)
25,NULL,Oudezijds Achterburgwal 77 te Amsterdam (NH)
26,NULL,Oudezijds Achterburgwal 79 A te Amsterdam (NH) e.a.
27,NULL,Oudezijds Achterburgwal 81 te Amsterdam (NH)
28,NULL,Oudezijds Achterburgwal 85 te Amsterdam (NH)
29,NULL,Oudezijds Achterburgwal 87 te Amsterdam (NH)
30,NULL,Oudezijds Achterburgwal 89 te Amsterdam (NH)
31,NULL,Oudezijds Achterburgwal 91 A te Amsterdam (NH) e.a.
32,NULL,Oudezijds Achterburgwal 93 te Amsterdam (NH)
33,NULL,Oudezijds Achterburgwal 95 te Amsterdam (NH)
34,Vergulde Ketel,Oudezijds Achterburgwal 97 te Amsterdam (NH)
35,NULL,Oudezijds Achterburgwal 119 A te Amsterdam (NH) e.a.
36,NULL,Oudezijds Achterburgwal 119 A te Amsterdam (NH)
37,NULL,Oudezijds Achterburgwal 121 A te Amsterdam (NH) e.a.
38,NULL,Oudezijds Achterburgwal 123 te Amsterdam (NH)
39,NULL,Oudezijds Achterburgwal 133 te Amsterdam (NH)
40,NULL,Oudezijds Achterburgwal 135 te Amsterdam (NH)
41,NULL,Oudezijds Achterburgwal 137 te Amsterdam (NH)
42,NULL,Oudezijds Achterburgwal 139 A te Amsterdam (NH) e.a.
43,NULL,Oudezijds Achterburgwal 143 A te Amsterdam (NH) e.a.
44,NULL,Oudezijds Achterburgwal 147 te Amsterdam (NH)
45,NULL,Oudezijds Achterburgwal 149 te Amsterdam (NH)
46,NULL,Oudezijds Achterburgwal 151 te Amsterdam (NH)
47,NULL,Oudezijds Achterburgwal 153 te Amsterdam (NH)
48,NULL,Oudezijds Achterburgwal 155 te Amsterdam (NH)
49,NULL,Walenpleintje 157 te Amsterdam (NH)
50,Oude Walenkerk,Walenpleintje 159 te Amsterdam (NH)
51,NULL,Walenpleintje 161 te Amsterdam (NH)
52,NULL,Walenpleintje 163 te Amsterdam (NH)
53,NULL,Walenpleintje 165 te Amsterdam (NH)
54,NULL,Walenpleintje 167 te Amsterdam (NH)
55,NULL,Oudezijds Achterburgwal 169 A te Amsterdam (NH) e.a.
56,NULL,Oudezijds Achterburgwal 171 A te Amsterdam (NH) e.a.
57,NULL,Oudezijds Achterburgwal 173 te Amsterdam (NH)
58,NULL,Oudezijds Achterburgwal 175 te Amsterdam (NH)
59,Spinhuis,Oudezijds Achterburgwal 185 te Amsterdam (NH)
60,NULL,Oudezijds Achterburgwal 187 te Amsterdam (NH) e.a.
61,NULL,Oudezijds Achterburgwal 189 te Amsterdam (NH)
62,NULL,Oudezijds Achterburgwal 191 te Amsterdam (NH)
63,NULL,Oudezijds Achterburgwal 193 te Amsterdam (NH)
64,NULL,Oudezijds Achterburgwal 195 te Amsterdam (NH)
65,NULL,Rusland 2 A te Amsterdam (NH) e.a.
66,NULL,Oudezijds Achterburgwal 203 A te Amsterdam (NH) e.a.
67,NULL,Oudezijds Achterburgwal 205 1 te Amsterdam (NH) e.a.
68,NULL,Oudezijds Achterburgwal 213 te Amsterdam (NH)
69,NULL,Oudezijds Achterburgwal 215 te Amsterdam (NH)
70,NULL,Oudezijds Achterburgwal 217 te Amsterdam (NH)
71,NULL,Oudezijds Achterburgwal 219 te Amsterdam (NH)
72,NULL,Oudezijds Achterburgwal 221 te Amsterdam (NH)
73,NULL,Oudezijds Achterburgwal 223 te Amsterdam (NH)
74,NULL,Oudemanhuispoort 1 A te Amsterdam (NH)
75,NULL,Oudezijds Achterburgwal 229 te Amsterdam (NH)
76,NULL,Oudezijds Achterburgwal 231 te Amsterdam (NH)
77,NULL,Oudezijds Achterburgwal bij 231 te Amsterdam (NH)
78,NULL,Oudezijds Achterburgwal 6 A te Amsterdam (NH) e.a.
79,NULL,Oudezijds Achterburgwal 14 te Amsterdam (NH)
80,NULL,Oudezijds Achterburgwal 28 te Amsterdam (NH)
81,NULL,Oudezijds Achterburgwal 36 te Amsterdam (NH)
82,NULL,Oudezijds Achterburgwal 38 te Amsterdam (NH)
83,NULL,Oudezijds Achterburgwal 40 te Amsterdam (NH)
84,NULL,Oudezijds Achterburgwal 46 A te Amsterdam (NH)
85,NULL,Oudezijds Achterburgwal 50 te Amsterdam (NH)
86,NULL,Oudezijds Achterburgwal 52 te Amsterdam (NH)
87,NULL,Oudezijds Achterburgwal 54 te Amsterdam (NH)
88,NULL,Oudezijds Achterburgwal 60 H te Amsterdam (NH) e.a.
89,NULL,Oudezijds Achterburgwal 60 H te Amsterdam (NH) e.a.
90,NULL,Oudezijds Achterburgwal 66 H te Amsterdam (NH) e.a.
91,NULL,Oudezijds Achterburgwal 66 A te Amsterdam (NH)
92,NULL,Oudezijds Achterburgwal 68 te Amsterdam (NH)
93,NULL,Oudezijds Achterburgwal 70 te Amsterdam (NH)
94,NULL,Oudezijds Achterburgwal 74 te Amsterdam (NH)
95,NULL,Oudezijds Achterburgwal 76 te Amsterdam (NH)
96,NULL,Oudezijds Achterburgwal 78 te Amsterdam (NH)
97,NULL,Oudezijds Achterburgwal 78 A te Amsterdam (NH)
98,NULL,Oudezijds Achterburgwal 80 A te Amsterdam (NH) e.a.
99,NULL,Oudezijds Achterburgwal 82 A te Amsterdam (NH) e.a.
100,NULL,Oudezijds Achterburgwal 86 te Amsterdam (NH)
102,NULL,Oudezijds Achterburgwal 100 te Amsterdam (NH)
103,NULL,Oudezijds Achterburgwal 102 te Amsterdam (NH)
104,NULL,Oudezijds Achterburgwal 104 te Amsterdam (NH)
105,NULL,Oudezijds Achterburgwal 112 te Amsterdam (NH)
106,NULL,Oudezijds Achterburgwal 114 te Amsterdam (NH)
107,NULL,Oudezijds Achterburgwal 116 te Amsterdam (NH) e.a.
108,NULL,Oudezijds Achterburgwal 120 te Amsterdam (NH)
109,NULL,Oudezijds Achterburgwal 122 te Amsterdam (NH)
110,NULL,Oudezijds Achterburgwal 124 te Amsterdam (NH)
111,NULL,Oudezijds Achterburgwal 126 te Amsterdam (NH)
112,NULL,Oudezijds Achterburgwal 134 te Amsterdam (NH)
113,NULL,Oudezijds Achterburgwal 136 te Amsterdam (NH)
114,NULL,Oudezijds Achterburgwal 140 te Amsterdam (NH)
115,NULL,Oudezijds Achterburgwal 142 te Amsterdam (NH)
116,NULL,Oudezijds Achterburgwal 144 te Amsterdam (NH)
117,NULL,Oudezijds Achterburgwal 146 te Amsterdam (NH)
118,NULL,Oudezijds Achterburgwal 150 te Amsterdam (NH)
119,NULL,Oudezijds Achterburgwal 156 te Amsterdam (NH)
120,NULL,Oudezijds Achterburgwal 164 te Amsterdam (NH)
121,NULL,Oudezijds Voorburgwal 195 te Amsterdam (NH) e.a.
122,NULL,Oudezijds Achterburgwal 170 te Amsterdam (NH)
123,NULL,Oudezijds Achterburgwal 172 te Amsterdam (NH)
124,NULL,Oudezijds Achterburgwal 188 te Amsterdam (NH)
125,NULL,Oudezijds Achterburgwal 190 A te Amsterdam (NH) e.a.
126,NULL,Oudezijds Achterburgwal 194 te Amsterdam (NH)
127,NULL,Oudezijds Achterburgwal 206 te Amsterdam (NH)
128,NULL,Oudezijds Achterburgwal 210 te Amsterdam (NH) e.a.
129,NULL,Oudezijds Achterburgwal 212 te Amsterdam (NH) e.a.
130,NULL,Achtergracht 3 te Amsterdam (NH)
131,NULL,Achtergracht 5 te Amsterdam (NH)
132,NULL,Achtergracht 7 te Amsterdam (NH)
133,NULL,Achtergracht 9 te Amsterdam (NH)
134,NULL,Achtergracht 11 te Amsterdam (NH)
135,NULL,Achtergracht 13 te Amsterdam (NH)
136,NULL,Achtergracht 15 te Amsterdam (NH)
137,NULL,Achtergracht 21 te Amsterdam (NH)
138,NULL,Achtergracht 23 te Amsterdam (NH)
139,NULL,Achtergracht 25 te Amsterdam (NH)
140,NULL,Achtergracht 27 te Amsterdam (NH)
141,NULL,Achtergracht 29 te Amsterdam (NH)
142,NULL,Achtergracht 31 A te Amsterdam (NH) e.a.
143,Zon,Achtergracht 2 te Amsterdam (NH)
144,December,Achtergracht 4 te Amsterdam (NH)
145,November,Achtergracht 6 te Amsterdam (NH)
146,October,Achtergracht 8 te Amsterdam (NH)
147,September,Achtergracht 10 te Amsterdam (NH)
148,Augustus,Achtergracht 12 te Amsterdam (NH)
149,Juli,Achtergracht 14 te Amsterdam (NH)
150,Juni,Achtergracht 16 te Amsterdam (NH)
151,Mei,Achtergracht 18 te Amsterdam (NH)
152,April,Achtergracht 20 te Amsterdam (NH)
153,Maart,Achtergracht 22 te Amsterdam (NH)
154,Februari,Achtergracht 24 te Amsterdam (NH) e.a.
155,Januari,Achtergracht 26 te Amsterdam (NH) e.a.
156,NULL,Achtergracht 28 1 te Amsterdam (NH) e.a.
157,NULL,Achtergracht 30 1 te Amsterdam (NH) e.a.
158,NULL,Achtergracht 32 te Amsterdam (NH)
159,NULL,Achtergracht 34 te Amsterdam (NH)
160,NULL,Amstel 316 te Amsterdam (NH) e.a.
162,NULL,Amstel 51 te Amsterdam (NH)
163,NULL,Amstel 55 te Amsterdam (NH)
164,NULL,Amstel 57 te Amsterdam (NH)
165,NULL,Amstel 59 te Amsterdam (NH)
166,NULL,Amstel 61 te Amsterdam (NH)
167,NULL,Amstel 63 te Amsterdam (NH)
168,NULL,Amstel 65 te Amsterdam (NH)
169,NULL,Amstel 67 A te Amsterdam (NH) e.a.
170,NULL,Amstel 69 te Amsterdam (NH) e.a.
171,NULL,Amstel 71 te Amsterdam (NH)
172,NULL,Amstel 75 te Amsterdam (NH)
173,NULL,Amstel 77 te Amsterdam (NH)
174,NULL,Amstel 79 te Amsterdam (NH)
175,NULL,Amstel 81 te Amsterdam (NH)
176,NULL,Amstel 83 A te Amsterdam (NH) e.a.
177,NULL,Amstel 85 te Amsterdam (NH)
178,NULL,Amstel 87 te Amsterdam (NH)
179,NULL,Amstel 89 te Amsterdam (NH)
180,NULL,Amstel 93 te Amsterdam (NH)
181,NULL,Amstel 95 te Amsterdam (NH)
182,NULL,Amstel 97 te Amsterdam (NH)
183,NULL,Amstel 99 A te Amsterdam (NH) e.a.
184,NULL,Amstel 101 te Amsterdam (NH)
185,NULL,Amstel 115 te Amsterdam (NH) e.a.
186,NULL,Amstel 127 te Amsterdam (NH)
187,NULL,Amstel 129 te Amsterdam (NH)
188,NULL,Amstel 131 A te Amsterdam (NH) e.a.
189,NULL,Amstel 133 te Amsterdam (NH)
190,NULL,Amstel 14 te Amsterdam (NH)
191,NULL,Amstel 26 te Amsterdam (NH)
192,NULL,Amstel 28 te Amsterdam (NH)
193,NULL,Amstel 34 te Amsterdam (NH)
194,NULL,Amstel 54 te Amsterdam (NH)
195,NULL,Amstel 56 te Amsterdam (NH)
196,NULL,Amstel 58 te Amsterdam (NH)
197,NULL,Amstel 60 te Amsterdam (NH)
198,NULL,Amstel 88 te Amsterdam (NH) e.a.
199,NULL,Amstel 100 te Amsterdam (NH)
200,NULL,Amstel 102 te Amsterdam (NH)
201,NULL,Amstel 104 te Amsterdam (NH)
202,NULL,Amstel 106 te Amsterdam (NH)
203,NULL,Amstel 108 te Amsterdam (NH)
204,NULL,Amstel 110 1 te Amsterdam (NH) e.a.
205,NULL,Amstel 112 te Amsterdam (NH) e.a.
206,NULL,Amstel 116 A te Amsterdam (NH) e.a.
207,NULL,Amstel 116 te Amsterdam (NH)
209,NULL,Amstel 126 te Amsterdam (NH)
210,NULL,Amstel 128 te Amsterdam (NH)
211,NULL,Amstel 130 te Amsterdam (NH)
212,NULL,Amstel 134 te Amsterdam (NH) e.a.
213,NULL,Amstel 138 te Amsterdam (NH)
214,NULL,Amstel 140 te Amsterdam (NH)
215,NULL,Amstel 142 te Amsterdam (NH)
216,NULL,Amstel 172 te Amsterdam (NH) e.a.
217,NULL,Amstel 176 A te Amsterdam (NH) e.a.
218,NULL,Amstel 178 te Amsterdam (NH)
219,NULL,Amstel 180 te Amsterdam (NH)
220,NULL,Amstel 184 te Amsterdam (NH)
221,NULL,Amstel 186 te Amsterdam (NH)
222,NULL,Amstel 190 te Amsterdam (NH) e.a.
223,NULL,Amstel 200 te Amsterdam (NH)
224,NULL,Amstel 204 te Amsterdam (NH)
225,NULL,Amstel 206 te Amsterdam (NH)
226,NULL,Amstel 208 te Amsterdam (NH)
227,NULL,Amstel 210 te Amsterdam (NH)
228,NULL,Amstel 214 /3 te Amsterdam (NH) e.a.
229,NULL,Amstel 216 te Amsterdam (NH)
230,NULL,Amstel 218 te Amsterdam (NH)
231,NULL,Amstel 220 te Amsterdam (NH)
232,NULL,Amstel 222 te Amsterdam (NH)
233,NULL,Amstel 224 te Amsterdam (NH)
234,NULL,Amstel 226 te Amsterdam (NH)
235,NULL,Amstel 228 te Amsterdam (NH)
236,NULL,Amstel 230 A te Amsterdam (NH) e.a.
237,NULL,Amstel 236 te Amsterdam (NH)
238,NULL,Amstel 238 te Amsterdam (NH)
239,NULL,Amstel 240 te Amsterdam (NH)
240,NULL,Amstel 242 te Amsterdam (NH)
241,NULL,Amstel 244 te Amsterdam (NH)
242,NULL,Amstel 246 te Amsterdam (NH)
243,NULL,Amstel 248 te Amsterdam (NH)
244,NULL,Amstel 250 te Amsterdam (NH)
