id,street,is_main_address,zipcode
2,Oudezijds Achterburgwal,Y,1012 DA
3,Oudezijds Achterburgwal,Y,1012 DA
4,Oudezijds Achterburgwal,Y,1012 DA
5,Oudezijds Achterburgwal,Y,1012 DA
6,Oudezijds Achterburgwal,Y,1012 DA
7,Oudezijds Achterburgwal,Y,1012 DA
8,Oudezijds Achterburgwal,Y,1012 DA
9,Oudezijds Achterburgwal,Y,1012 DB
10,Oudezijds Achterburgwal,Y,1012 DB
11,Oudezijds Achterburgwal,Y,1012 DB
12,Oudezijds Achterburgwal,Y,1012 DB
13,Oudezijds Achterburgwal,Y,1012 DB
14,Oudezijds Achterburgwal,Y,1012 DB
15,Oudezijds Achterburgwal,Y,1012 DB
16,Oudezijds Achterburgwal,Y,1012 DB
17,Oudezijds Achterburgwal,Y,1012 DB
17,Oudezijds Achterburgwal,N,1012 DB
18,Oudezijds Achterburgwal,Y,1012 DB
19,Oudezijds Achterburgwal,Y,1012 DB
20,Oudezijds Achterburgwal,Y,1012 DB
21,Oudezijds Achterburgwal,N,1012 DC
21,Oudezijds Achterburgwal,N,1012 DC
21,Oudezijds Achterburgwal,N,1012 DC
21,Oudezijds Achterburgwal,N,1012 DC
21,Oudezijds Achterburgwal,Y,1012 DC
22,Oudezijds Achterburgwal,Y,1012 DC
23,Oudezijds Achterburgwal,Y,1012 DC
25,Oudezijds Achterburgwal,Y,1012 DC
26,Oudezijds Achterburgwal,N,1012 DC
26,Oudezijds Achterburgwal,Y,1012 DC
26,Oudezijds Achterburgwal,N,1012 DC
26,Oudezijds Achterburgwal,N,1012 DC
26,Oudezijds Achterburgwal,N,1012 DC
26,Oudezijds Achterburgwal,N,1012 DC
26,Oudezijds Achterburgwal,N,1012 DC
27,Oudezijds Achterburgwal,Y,1012 DC
28,Oudezijds Achterburgwal,Y,1012 DC
29,Oudezijds Achterburgwal,Y,1012 DC
30,Oudezijds Achterburgwal,Y,1012 DC
31,Oudezijds Achterburgwal,N,1012 DC
31,Oudezijds Achterburgwal,Y,1012 DC
32,Oudezijds Achterburgwal,Y,1012 DD
33,Oudezijds Achterburgwal,Y,1012 DD
34,Oudezijds Achterburgwal,Y,1012 DD
35,Oudezijds Achterburgwal,N,1012 DE
35,Oudezijds Achterburgwal,N,1012 DE
35,Oudezijds Achterburgwal,N,1012 DE
35,Oudezijds Achterburgwal,Y,1012 DE
36,Oudezijds Achterburgwal,Y,1012 DE
37,Oudezijds Achterburgwal,N,1012 DE
37,Oudezijds Achterburgwal,N,1012 DE
