,title,price
0,"Olijfje dip -  Garlic sauce, olives and herb butter",4.95
1,"Humus -  Perhaps the most famous and classic mezze of chickpeas, tahini, lemon juice, olive oil and garlic",4.95
2,"Tzatziki -  Refreshing dish of Turkish yoghurt, cucumber, dill and garlic",4.95
3,"Barbunya pilaki -  Kidney beans, carrot, onion, garlic and potato in a light tomato sauce.",5.95
4,"Haydari -  Delicious Greek cream yoghurt, fresh dillen, mint and garlic",6.95
5,"Cerkez tavugu   (recommended)   Chicken filet with walnuts, mayonnaise, cream, paprika and bread crumbs",7.95
6,"Antep ezme  (spicy)  -  Tapenade of spicy Spanish peppers, paprika, tomato, green pepper, parsley and onion",7.95
7,"Saksuka  Fried eggplant with zucchini, garlic, tomato and onion",7.95
8,"Mediterranean cheese platter  -  Cheese platter with delicious cheeses from Spain, Turkey and Greece.",9.95
9,Queso oveja curado -  Mature Manchego cheese,6.95
10,Soup  Creamy lentil soup,6.95
11,"Grilled eggplant  Charcoal grilled eggplant with garlic, tomato juice, lemon juice and pomegranate sauce",7.95
12,Cigar rolls  Puff pastry rolls with Turkish feta cheese and parsley [;],5.95
13,"Baked mushrooms  With garlic, onion, tomato and white wine",7.95
14,"Albanese liver Fried in olive oil, breaded lamb liver with diced onion and parsley",9.95
15,Gamba’s -  Breaded,7.95
16,Braised shrimps  marinated with tomato sauce and vinegar,7.95
17,"Kalamar -  Fried, breaded squid rings",7.95
18,"Stuffed eggplant, with or without yoghurt  -  Stuffed with minced meat, vegetables and rice",8.95
19,"Stuffed paprika, with or without yoghurt  -  Stuffed with minced meat, vegetables and rice",8.95
20,"Stuffed rape leaves, with or without yoghurt  -  Stuffed with vegetables and rice",8.95
21,Grilled chicken bites,8.95
22,Croquetas de bacalao -  Cod croquettes (portion size = 4 pieces),6.95
23,Croquetas de Gamba -  Prawns croquettes (portion size = 4 pieces),6.95
24,Gazpacho -  Chilled Spanish vegetable soup. (vegetarian dish),4.95
25,Patatas Bravas -  Chunky patato slices cooked in the oven and seasoned with Eastern spices.,4.95
26,Falafel -  Vegetarian chickpeas balls,4.95
27,"Icli kofte  -  Delicious Turkish meatballs made of bulgur and filled with minced meat and seasons, 2 pieces",6.95
